date,total_poops,weight_total_poops,weight_ten_poops,food
12/16/23,85,0.87,0.1,NA
12/17/23,94,0.92,0.11,NA
12/18/23,76,0.86,0.1,NA
12/19/23,88,0.98,0.1,NA
12/20/23,83,0.82,0.11,NA
12/21/23,60,0.67,0.14,NA
12/22/23,99,0.94,0.09,NA
12/23/23,84,0.81,0.11,broccoli
12/24/23,79,0.98,0.13,cabbage
12/25/23,102,1.06,0.21,broccoli
12/26/23,67,0.57,0.09,broccoli
12/27/23,92,0.88,0.1,cabbage
12/28/23,73,0.62,0.09,cabbage
12/29/23,80,0.81,0.12,cabbage
12/30/23,71,0.49,0.05,cabbage
12/31/23,93,0.83,0.11,cabbage
1/1/24,74,0.75,0.1,carrot
1/2/24,98,1.01,0.1,nothing
1/3/24,61,0.88,0.14,cabbage
1/4/24,70,0.85,0.11,cabbage
1/5/24,84,1,0.12,cabbage
1/6/24,67,0.74,0.11,carrot
1/7/24,60,0.6,0.11,carrot
1/8/24,76,0.74,0.1,nothing
1/9/24,76,0.9,0.1,broccoli
1/10/24,58,0.65,0.09,carrot
1/11/24,65,0.57,0.1,broccoli
1/12/24,69,0.65,0.07,broccoli
1/13/24,85,0.77,0.11,carrot
1/14/24,81,0.72,0.1,cabbage
1/15/24,92,0.97,0.12,carrot
1/16/24,83,1.04,0.12,broccoli
1/17/24,97,1.21,0.12,broccoli
1/18/24,94,0.98,0.09,nothing
1/19/24,91,0.93,0.12,broccoli
1/20/24,100,1.05,0.1,broccoli
1/21/24,69,0.78,0.1,broccoli
1/22/24,82,1.04,0.15,broccoli
1/23/24,81,1.06,0.17,broccoli
1/24/24,76,0.88,0.1,cabbage
1/25/24,93,0.93,0.09,carrot
1/26/24,90,0.93,0.09,carrot
1/27/24,77,0.81,0.1,cabbage
1/28/24,92,0.93,0.1,broccoli
1/29/24,65,0.78,0.11,carrot
1/30/24,76,0.74,0.09,carrot
1/31/24,91,0.62,0.08,carrot
2/1/24,105,0.98,0.1,cabbage
2/2/24,83,0.76,0.1,cabbage
2/3/24,110,0.96,0.11,cabbage
